,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
11803,2019,68,RQ202022019,KENNEDY,PRIVADO,, JARDÍN INFANTIL APRENDIENDO A CRECER ABC ,"0,1618328157",0,"0,2905538302",0,"0,1111111111","0,4142857143",Medio
11804,2019,69,380,USME,PRIVADO,PRI, JARDIN INFANTIL MIS PRIMEROS TRAZOS ,"0,7972992481","0,8012121212","0,7594736842","0,8947368421","0,7412698413","0,8",Alto
11805,2019,70,803,SUBA,PRIVADO,PRI, FUNDACION NIÑ@S BOGOTA,"0,1310736434","0,06147186147","0,1680232558",0,"0,1142857143","0,3571428571",Medio
11806,2019,71,1863,CHAPINERO,PRIVADO,PRI, BABIDI BU DESCUBRE TU MUNDO,"0,6439444444","0,4886002886","0,7178571429","0,7894736842","0,4873015873","0,7",Bajo
11807,2019,72,15497,SUBA,PRIVADO,PRI, HOGAR MIS PEQUEÑOS ANGELITOS DOS,"0,3556888889","0,5919191919","0,4633333333",0,"0,2111111111","0,3914285714",Bajo
11808,2019,73,18790,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL AULA KIDS,"0,6325387164","0,761038961","0,3799861974","0,6385964912","0,8492063492","0,7314285714",Alto
11809,2019,74,Q534,KENNEDY,PRIVADO,, MIS ADORABLES TRAVESURAS KINDERGARTEN,"0,2092670213","0,2654545455","0,3662234043",0,"0,1666666667","0,1142857143",Medio
11810,2019,75,634,BOSA,PUBLICO,JSDIS,J I LAURELES ,"0,9282492063","0,8607792208","0,9333333333",1,"0,9018518519","0,9542857143",Alto
11811,2019,76,15206,KENNEDY,PRIVADO,PRI, GUARDERÍA Y PREJARDÍN SUEÑOS Y SONRISAS,"0,4469014157","0,2927272727","0,4791634492","0,3","0,5396825397","0,72",Bajo
11812,2019,77,385,KENNEDY,PRIVADO,PRI, GIMNASIO INFANTIL CREARTE,"0,8982277778","0,9078787879","0,7967592593","0,9859649123","0,9555555556","0,92",Alto
11813,2019,78,672,BOSA,PUBLICO,JSDIS, J I ANTONIA SANTOS,"0,8594507326","0,8763636364","0,7991452991","0,9157894737","0,8273809524","0,92",Alto
11814,2019,79,7091,BOSA,PUBLICO,CC, J I ACEPTA EL CAMBIO,"0,9664410256","0,9636363636","0,9743589744","0,9649122807",1,"0,92",Alto
