,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
12577,2019,844,8455,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL EXITOSOS,0.779364835,0.752727273,0.646581197,0.859649123,0.952380952,0.811428571,Alto
12578,2019,845,16463,TUNJUELITO,PRIVADO,PRI,JARDÍN PINTEMOS EL MUNDO DE COLORES SAS,0.748132636,0.856969697,0.696283391,0.473684211,0.804761905,1,Alto
12579,2019,846,16871,TEUSAQUILLO,PRIVADO,PRI,FUNDACION INTI HUASI CASA DEL SOL EDUCACION PARA LA VIDA,0.621647619,0.60969697,0.602142857,0.456140351,0.662698413,0.862857143,Bajo
12580,2019,847,18095,SUBA,PRIVADO,PRI,NUEVO JARDIN INFANTIL LA RINDA DE LAS VOCALES,0.439462771,0.51030303,0.42465368,0.578947368,0.233333333,0.391428571,Bajo
12581,2019,848,19347,TUNJUELITO,PRIVADO,PRI,JARDÍN INFANTIL REINVENTANDO EL MUNDO,0.559496537,0.731948052,0.449242424,0.456140351,0.476190476,0.754285714,Bajo
12582,2019,849,19585,SUBA,PRIVADO,PRI,SABIA DIVERSION,0.514007092,0.747878788,0.513991895,0.421052632,0.436507937,0.355714286,Bajo
12583,2019,850,19704,TEUSAQUILLO,PRIVADO,PRI,PATATIN PATATERO,0.689798758,0.685887446,0.586853002,0.849122807,0.538095238,0.862857143,Bajo
12584,2019,851,Q570,BOSA,PRIVADO,,JARDIN INFANTIL MUNDO KIDS L,0.24857381,0.27030303,0.499404762,0,0.261904762,0,Medio
12585,2019,852,674,BOSA,PUBLICO,JSDIS,JARDIN INFANTIL LA LIBERTAD,0.875083333,0.843636364,0.897222222,0.957894737,0.786111111,0.86,Alto
12586,2019,853,17527,KENNEDY,PRIVADO,PRI,JARDIN INFANTIL GIMNASIO LA VILLA,0.523547851,0.693333333,0.592270616,0.1,0.722222222,0.471428571,Bajo
12587,2019,854,18939,TEUSAQUILLO,PRIVADO,PRI,GRANDES GENIOS,0.613819048,0.740606061,0.694444444,0.519298246,0.528571429,0.461428571,Bajo
12588,2019,855,19324,SUBA,PRIVADO,PRI,SAINT MARY NURSERY & PRESCHOOL,0.552935488,0.558152958,0.726734694,0.389473684,0.482142857,0.47,Bajo
12589,2019,856,1904,KENNEDY,PRIVADO,PRI,LICEO CREATIVO LUNA LUNERA,0.865933333,0.84,0.846666667,1,0.855555556,0.777142857,Alto
12590,2019,857,6769,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL ESTRELLITAS DE AMOR,0.729566667,0.801212121,0.802777778,0.526315789,0.744444444,0.72,Bajo
12591,2019,858,15743,FONTIBON,PRIVADO,PRI,KINDERGARTEN CAMELOT,0.809527273,0.956363636,0.975757576,0.540350877,0.855555556,0.538571429,Alto
12592,2019,859,16660,SUBA,PRIVADO,PRI,HAPPY BABY CENTRO DE DESARROLLO INFANTIL,0.273408638,0.284848485,0.332631968,0.236842105,0.23968254,0.214285714,Medio
12593,2019,860,16767,TUNJUELITO,PRIVADO,PRI,JARDÍN INFANTIL PSICOPEDAGÓGICO VENECIA,0.353603922,0.476363636,0.483235294,0,0.305555556,0.414285714,Bajo
12594,2019,861,16990,FONTIBON,PRIVADO,PRI,GIMNASIO INFANTIL CARITAS FELICES,0.600484615,0.650909091,0.781837607,0.477192982,0.377777778,0.538571429,Bajo
12595,2019,862,18051,SUBA,PRIVADO,PRI,CASTILLO MAGICO,0.476150166,0.641969697,0.436262458,0.442105263,0.334920635,0.498571429,Bajo
12596,2019,863,18553,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL MERLIN,0.7009,0.567272727,0.641666667,0.754385965,0.711111111,0.954285714,Bajo
12597,2019,864,18697,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL APRENDIENDO JUNTOS EL ABC,0.455304762,0.798787879,0.531349206,0.035087719,0.316666667,0.471428571,Bajo
12598,2019,865,18783,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL CONSTRUYO MI MUNDO CENTRO DE ESTIMULACION,0.460576412,0.501298701,0.484302326,0.6,0.5,0.114285714,Bajo
12599,2019,866,18879,SUBA,PRIVADO,PRI,WONDERLAND KIDS,0.578069048,0.692727273,0.531944444,0.484210526,0.528571429,0.677142857,Bajo
12600,2019,867,19772,TUNJUELITO,PRIVADO,PRI,JARDÍN INFANTIL GARABATOS Y ESCRITURA,0.358475188,0.483636364,0.420250627,0.157894737,0.2,0.471428571,Medio
12601,2019,868,19777,FONTIBON,PRIVADO,PRI,GIMNASIO PEDAGOGICO SHALOM,0.632338095,0.698961039,0.708333333,0.652631579,0.444444444,0.538571429,Bajo
12602,2019,869,20061,TUNJUELITO,PRIVADO,PRI,JARDÍN INFANTIL YUPANKIDS,0.334750627,0.478787879,0.371390977,0.157894737,0.2,0.414285714,Medio
12603,2019,870,RQ935672016,KENNEDY,PRIVADO,,JARDÍN INFANTIL SANTA TERESITA EL ARCO IRIS DE LOS NIÑOS,0.109183673,0,0.280612245,0,0.166666667,0,Medio
12604,2019,871,1007,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL PEQUEÑAS TRAVESURAS,0.856996512,0.833939394,0.853488372,0.842105263,0.847222222,0.931428571,Alto
12605,2019,872,1668,USAQUEN,PRIVADO,PRI,KINDEREN HOUSE,0.514291383,0.351515152,0.472823129,0.603508772,0.762962963,0.471428571,Bajo
12606,2019,873,1912,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL LA HORMIGUITA BILINGÜE,0.737767909,0.791515152,0.601956522,0.659649123,0.838095238,0.942857143,Alto
12607,2019,874,2989,KENNEDY,PRIVADO,PRI,LICEO PEDAGÓGICO LOS HIJOS DEL REY,0.440087689,0.475757576,0.350609756,0.407017544,0.379365079,0.685714286,Bajo
12608,2019,875,3490,KENNEDY,PRIVADO,PRI,BILINGUAL SCHOOL BOTICCELI,0.934695238,0.961212121,0.900793651,1,0.841269841,0.977142857,Alto
12609,2019,876,7930,BOSA,PUBLICO,CC,CC SEMILLAS DE ESPERANZA DE SAN BERNANDINO,0.940166228,0.943896104,0.962056738,1,0.88994709,0.86,Alto
